Gene symbol	Mutant.309.R1.drna.DVBt.DVB.S7.R1.001	Mutant.309.R2.drna.DVBt.DVB.S8.R1.001	Mutant.309.R3.drna.DVBt.DVB.S9.R1.001	WT.39.R1.drna.DVBt.DVB.S13.R1.001	WT.39.R2.drna.DVBt.DVB.S14.R1.001	WT.39.R3.drna.DVBt.DVB.S15.R1.001
AC079601.1	3	1	3	3	1	3
AC079600.3	0	0	0	0	0	0
LINC02402	0	0	0	0	0	0
AC079600.2	0	0	0	0	0	0
AC079600.1	10	6	16	14	16	23
LINC02451	0	0	0	0	0	0
RPS27P21	13	15	18	10	7	8
LINC02450	0	0	0	0	0	0
AC068802.1	0	0	0	0	0	0
AC012038.2	0	0	0	0	0	0
AC012038.1	0	0	0	0	0	0
MRPS36P5	0	0	0	0	0	0
LINC02461	1	0	0	0	0	0
ADAMTS20	7	6	5	23	44	30
AC090525.1	1	0	0	0	0	0
AC090525.2	10	13	9	21	15	16
AC090525.3	0	0	0	0	0	0
EEF1A1P17	13	11	15	5	4	5
PUS7L	1522	1423	1517	1738	1579	1269
AC093012.1	30	24	42	33	36	38
IRAK4	598	614	665	354	246	134
TWF1	1972	1978	2003	1472	1608	1553
TMEM117	384	335	291	180	199	237
ZNF75BP	0	0	0	0	0	0
AC025030.2	0	0	0	0	0	0
AC025030.1	0	0	0	0	0	0
AC025253.1	5	0	2	18	7	4
NELL2	2899	3285	4787	6631	5190	6087
DBX2	1	1	2	3	4	5
AC008127.1	0	0	0	0	0	0
RACGAP1P	8	18	16	19	21	13
AC008127.2	0	1	2	1	0	2
RNA5SP361	0	0	0	0	0	0
PLEKHA8P1	107	135	185	218	285	275
AC009248.1	0	0	0	0	0	0
ANO6	2175	2049	2169	1349	1024	789
AC009248.2	0	0	0	0	0	1
AC063924.1	0	0	0	0	0	0
AC079950.1	0	0	0	2	2	1
AC008124.1	979	1171	1224	1210	1402	1248
ARID2	2053	1897	2191	1266	1361	1269
AC009464.1	0	0	0	1	1	0
RN7SL246P	0	0	0	0	0	0
KNOP1P2	3	2	1	0	0	0
SCAF11	4744	4644	4705	1943	1573	1286
AC084878.1	0	0	0	0	1	0
SLC38A1	2514	2936	4314	10413	11948	14556
AC025031.3	0	0	0	0	0	0
SLC38A2	3320	3280	4162	4751	6385	6002
AC025031.2	1	1	1	2	0	2
AC008014.1	25	37	32	32	31	34
AC025031.1	1	1	2	2	4	8
AC025031.4	15	23	25	22	23	20
AC025031.5	3	2	2	1	1	2
AC008035.1	9	5	6	4	4	2
OR7A19P	0	0	0	0	0	0
MARK3P1	0	1	1	0	0	1
SLC38A4	129	112	120	30	21	16
AC079906.1	1	6	6	3	2	1
AMIGO2	2153	1685	1609	1200	743	428
PCED1B	39	30	28	26	11	2
AC119044.1	0	1	0	1	1	1
MIR4698	0	0	0	0	0	0
PCED1B-AS1	4	2	0	4	0	0
AC008083.1	0	0	0	0	0	0
AC008083.2	1	3	0	1	0	1
AC008083.3	0	0	0	1	0	0
PPIAP45	3	0	1	3	0	0
LINC02416	0	0	0	0	0	0
MIR4494	0	0	0	0	0	0
LINC02156	1	0	0	0	1	0
ADI1P3	0	0	0	0	0	0
AC003686.1	0	0	1	0	0	0
AC004486.1	0	0	0	0	1	1
RPAP3	1903	1954	2215	1759	2033	2123
AC004241.3	6	12	8	4	12	11
AC004241.1	9	12	19	7	7	8
ENDOU	2	1	1	4	1	1
AC004241.5	3	7	10	3	1	3
AC004241.2	1	0	4	0	0	0
RAPGEF3	21	21	36	108	137	148
SLC48A1	417	423	558	549	584	617
AC004241.4	1	1	1	2	2	0
HDAC7	846	853	927	569	447	321
AC004466.1	1	0	0	0	0	1
AC004466.3	3	0	6	5	2	0
AC004466.2	0	2	0	2	0	0
LINC02354	0	0	0	0	0	0
VDR	2	0	9	9	5	6
AC121338.1	0	0	0	0	0	0
AC121338.2	2	2	4	4	10	10
AC004801.7	0	0	0	0	0	0
TMEM106C	1613	2099	2532	1453	1514	1311
COL2A1	11319	13286	15947	2690	1458	182
AC004801.5	1	4	1	1	0	0
AC004801.4	0	0	0	0	0	0
AC004801.3	0	0	0	0	0	0
AC004801.6	2	4	3	12	5	3
SENP1	504	497	536	615	649	669
AC004801.2	11	16	14	18	28	7
RNU6-1203P	0	0	0	0	1	0
AC004801.1	83	132	121	85	125	171
PFKM	3732	3953	4575	4548	5360	5999
MIR6505	0	1	0	0	0	0
ASB8	755	816	865	994	1278	1286
AC074029.3	3	1	2	3	5	6
AC074029.2	0	0	0	1	0	0
PHBP18	20	22	31	30	33	24
AC074029.1	0	1	1	2	1	2
CCDC184	811	1143	2192	4914	7164	8144
AC074029.4	3	4	4	18	23	21
AC024257.3	12	17	14	12	18	21
OR10AD1	6	1	4	6	6	5
AC024257.1	1	0	0	0	0	0
AC024257.5	0	3	1	7	5	6
H1FNT	2	4	2	7	4	4
AC024257.2	0	0	0	0	1	0
ZNF641	875	1019	1287	1387	1707	2096
AC090115.1	1	2	3	4	1	0
OR5BK1P	6	5	10	7	4	3
AC024257.4	1	6	4	8	1	3
OR5BT1P	4	1	0	3	0	0
OR5BJ1P	0	0	0	0	0	0
OR8S21P	0	0	0	0	0	0
OR8T1P	9	5	5	7	3	5
ANP32D	74	87	107	56	68	44
C12orf54	5	8	6	6	3	1
AC089987.2	0	0	0	0	0	0
RPS10P20	0	0	0	0	0	0
AC089987.1	2	2	3	2	2	1
OR8S1	0	0	0	0	1	1
OR5BS1P	0	0	0	0	0	0
LALBA	0	0	0	0	0	0
OR11M1P	0	0	0	0	0	2
KANSL2	920	978	1120	878	1089	956
SNORA2C	0	0	1	0	0	0
MIR1291	0	0	0	0	0	0
SNORA2A	2	0	0	2	1	2
SNORA2B	1	1	0	0	0	0
CCNT1	1956	1943	2079	1416	1577	1678
TEX49	0	2	0	0	0	0
ADCY6	1809	1766	1824	1755	1825	1876
AC117498.1	0	0	0	0	0	0
MIR4701	0	0	0	0	0	0
AC117498.2	8	11	13	16	5	10
AC117498.3	4	6	11	10	9	18
CACNB3	1134	1109	1678	2600	2844	3150
DDX23	2464	2556	2902	1362	1545	1670
RND1	484	583	640	327	303	327
RNU6-600P	0	0	0	1	0	1
AC073610.1	1	0	1	0	2	0
AC073610.3	0	0	1	3	0	3
CCDC65	381	408	388	241	215	211
FKBP11	186	215	189	302	251	174
AC073610.2	0	0	0	0	0	0
ARF3	3133	3357	3677	4271	4759	4836
WNT10B	37	28	66	218	320	282
RNU6-940P	0	0	0	0	0	0
WNT1	0	0	0	0	0	1
DDN	109	113	142	84	96	94
AC011603.3	0	0	0	0	0	0
DDN-AS1	24	20	31	7	8	9
PRKAG1	1676	1884	1961	1275	1159	1211
KMT2D	2863	2579	3060	1693	1769	1541
RHEBL1	14	27	31	143	166	155
AC011603.4	1	1	2	1	4	4
DHH	3	4	5	16	20	15
AC011603.1	1	0	0	0	0	1
LMBR1L	903	800	1054	1394	1505	1521
AC011603.2	2	0	2	2	0	0
TUBA1B	4421	4214	5751	6628	8184	8917
TUBA1A	87105	80957	108363	145343	166384	149504
TUBA1C	15425	15316	21694	31766	38677	41193
AC010173.1	3	8	5	24	15	35
AC125611.3	0	0	0	0	0	0
AC125611.4	3	7	14	16	26	15
PRPH	910	669	1812	6675	11013	4806
TROAP	21	70	46	15	4	6
C1QL4	77	166	354	2098	3798	6937
DNAJC22	416	487	544	528	1200	2454
SPATS2	813	963	1325	1806	2287	2581
AC125611.2	4	2	0	2	2	5
AC125611.1	0	0	0	3	1	0
KCNH3	154	112	161	276	146	242
MCRS1	1320	1503	1525	1065	1289	1281
PRPF40B	398	372	462	442	351	403
AC020612.3	3	4	3	1	0	0
FAM186B	3	9	21	3	8	2
RNU6-834P	2	1	0	0	0	0
POLR2KP1	1	2	1	0	0	0
AC020612.1	5	12	11	6	9	7
HIGD1AP9	0	0	0	0	1	1
FMNL3	308	310	328	375	284	301
TMBIM6	25712	24799	27881	12672	12556	11845
AC020612.2	0	0	0	0	0	0
LSM6P2	0	0	0	0	0	0
NCKAP5L	815	875	1126	1329	1832	2035
BCDIN3D-AS1	90	80	82	93	98	102
BCDIN3D	173	175	216	220	277	239
AC131157.1	0	0	0	1	0	0
RPL35AP28	2	3	2	1	0	1
FAIM2	610	760	1887	5430	7199	8138
LINC02396	0	0	0	1	0	0
LINC02395	0	0	1	7	3	1
AQP2	0	2	0	1	0	0
AC025154.2	7	3	7	1	4	0
AC025154.1	0	0	0	0	0	0
AQP5	8	6	7	29	45	26
AQP6	19	30	20	14	11	3
RACGAP1	365	661	722	647	729	866
ASIC1	1443	1903	2054	2265	2280	2641
SMARCD1	2301	2298	2794	1982	2201	1881
GPD1	2325	2701	2443	199	112	26
COX14	389	365	389	312	316	292
AC074032.1	16	18	13	3	2	1
CERS5	2043	2263	2180	2370	2165	1715
LIMA1	1103	980	875	438	407	372
AC008147.2	7	1	3	11	4	3
AC008147.3	0	0	0	0	0	0
AC008147.1	0	0	0	0	0	0
MIR1293	0	0	0	0	0	0
RNU6-1093P	0	0	0	0	0	0
AC008147.4	0	2	0	3	2	0
FAM186A	6	7	2	5	4	2
AC090058.1	1	1	1	1	1	1
LARP4	2351	2371	2331	1352	1443	1231
DIP2B	3580	3279	3720	2744	3404	3230
RNU6-769P	0	0	0	0	0	0
RNU6-238P	0	0	0	0	0	0
AC013244.1	5	2	3	1	3	0
ATF1	623	596	539	330	341	264
AC013244.2	0	0	0	1	0	0
RN7SL519P	0	0	0	0	0	0
TMPRSS12	0	0	3	0	1	0
AC013244.3	0	0	0	0	0	0
METTL7A	43	52	64	32	18	6
AC008121.2	4	2	4	3	7	2
AC008121.1	1	1	1	0	0	0
HIGD1C	0	0	2	0	0	0
AC008121.3	0	0	1	0	1	0
SLC11A2	1340	1353	1370	1643	1588	1483
RNU6-87P	1	0	0	0	0	0
RNU6-1273P	0	0	0	0	0	0
LETMD1	1088	1280	1401	1416	1554	1409
CSRNP2	2054	2330	2902	4078	5516	5594
TFCP2	1538	1638	1756	1327	1422	1318
AC087884.1	0	0	1	0	0	0
PHBP19	2	5	3	2	3	1
RNU6-199P	0	0	0	0	1	0
POU6F1	223	228	332	391	456	508
AC139768.1	17	34	22	17	15	19
DAZAP2	3906	4123	3887	1955	1689	1433
SMAGP	7	8	10	14	18	15
BIN2	0	0	1	0	0	0
CELA1	0	0	0	0	0	0
GALNT6	0	0	1	25	3	4
SLC4A8	654	840	1561	4828	4413	4882
AC107031.1	0	0	0	0	0	0
SCN8A	244	300	516	1654	1554	1525
HNRNPA3P10	81	110	116	70	103	90
AC068987.2	0	0	0	0	0	0
AC068987.5	0	5	0	0	1	2
AC068987.3	8	4	8	8	8	8
FIGNL2	19	18	34	72	60	69
AC068987.4	0	0	0	0	0	0
AC068987.1	2	1	2	7	7	9
ANKRD33	0	1	2	1	4	6
AC025259.2	3	1	2	0	0	0
ACVRL1	0	2	2	43	30	20
ACVR1B	1262	1274	1904	3959	4355	4474
RNU6-574P	1	1	1	0	1	2
GRASP	45	68	93	184	150	244
NR4A1	117	149	307	208	233	260
AC025259.3	0	1	1	0	0	1
ATG101	218	253	259	238	303	350
AC025259.1	0	0	0	0	0	0
SMIM41	0	0	0	0	0	0
OR7E47P	0	0	0	0	0	0
AC078864.1	1	0	1	2	4	2
LINC00592	0	0	0	0	1	0
KRT80	6	6	13	3	2	1
C12orf80	0	0	0	0	0	0
METTL7AP1	0	0	0	0	0	0
KRT7	2	2	2	0	2	0
KRT7-AS	0	0	0	0	0	0
KRT86	1	6	8	17	14	14
KRT87P	0	0	1	0	1	1
AC021066.2	0	0	0	0	0	0
AC021066.1	0	0	0	0	0	0
AC021066.3	0	0	0	0	0	0
KRT81	1	0	1	13	4	3
AC121757.1	0	2	3	1	6	6
KRT83	0	0	0	0	0	0
KRT89P	1	2	2	0	0	0
KRT85	0	1	0	0	0	0
KRT84	0	0	0	0	0	0
AC078865.1	0	0	0	0	0	0
KRT82	0	0	0	0	0	0
AC055736.1	0	0	0	0	0	0
KRT90P	0	0	0	0	0	0
KRT75	1	1	0	0	1	4
KRT6B	0	0	0	0	0	0
KRT6C	0	0	0	0	0	0
KRT6A	0	0	0	0	0	0
KRT5	0	0	0	1	0	0
KRT71	0	0	0	0	0	0
KRT74	0	0	0	0	1	0
KRT72	1	1	0	0	0	0
KRT73-AS1	0	0	0	0	0	0
KRT73	0	0	0	0	0	0
KRT128P	0	0	0	0	0	0
KRT2	0	0	2	1	0	0
KRT1	0	0	0	0	0	0
KRT77	1	2	0	0	0	1
AC055716.3	0	0	0	0	0	0
KRT126P	0	0	0	0	0	0
KRT125P	0	0	0	0	0	0
AC055716.2	48	39	59	20	21	25
AC055716.1	0	0	0	0	0	0
BTBD10P1	99	71	123	181	205	188
KRT127P	0	0	0	0	0	0
ARL2BPP2	0	0	0	0	0	0
KRT76	0	0	0	0	0	0
AC107016.2	0	0	0	0	0	0
KRT3	0	0	0	0	0	0
KRT4	0	0	0	0	1	1
KRT79	0	0	0	0	0	0
AC107016.1	0	0	0	0	0	0
KRT78	0	0	0	0	0	0
RPL7P41	0	0	0	0	0	0
KRT8	122	221	524	123	99	25
KRT18	112	178	239	175	130	65
EIF4B	6396	6426	6850	7303	7230	6129
AC068888.2	4	1	3	2	2	0
AC068888.1	193	238	231	133	137	110
TNS2	309	334	316	199	126	107
MIR6757	0	0	1	0	0	0
SPRYD3	1473	1654	1853	1760	1944	2031
IGFBP6	21	40	42	88	146	112
SOAT2	0	1	0	0	0	0
VTI1BP3	0	1	1	0	0	0
RNU6-333P	0	0	0	0	0	0
HIGD1AP1	261	269	285	122	109	116
EIF4A1P4	99	149	177	133	184	174
CSAD	721	648	652	388	197	148
AC073573.1	0	0	0	1	0	0
ZNF740	1053	1077	1071	822	934	786
ITGB7	1	2	2	0	1	1
RARG	272	236	303	150	120	40
AC021072.1	0	0	0	2	0	0
MFSD5	583	556	691	426	571	532
ESPL1	39	118	68	48	26	14
PFDN5	6291	6641	6618	4609	5170	4148
AC073611.1	9	10	12	8	9	4
C12orf10	629	751	853	751	920	964
AAAS	1331	1381	1363	994	942	825
SP7	2	1	2	3	11	9
SP1	2274	2069	2020	1015	793	487
AMHR2	0	2	2	0	4	1
PRR13	817	885	896	597	613	508
AC023509.1	0	0	0	0	0	0
PCBP2	3411	3420	3913	3392	3793	3044
PCBP2-OT1	2	5	6	4	2	1
MAP3K12	1453	1297	1557	1845	1746	1716
AC023509.4	23	18	38	17	28	22
TARBP2	569	570	713	403	478	468
AC023509.3	14	8	8	6	3	3
NPFF	0	0	0	0	0	0
ATF7	1005	855	952	571	564	412
AC023509.2	3	0	0	1	0	0
AC023509.6	0	0	1	2	0	0
AC023509.5	0	0	0	0	0	0
ATP5MC2	2393	2594	2594	1751	2009	1396
AC073594.1	0	0	0	0	0	1
CALCOCO1	2577	2315	2584	1714	1228	979
CISTR	0	0	2	0	1	2
AC076968.1	0	0	1	2	3	4
RN7SKP289	0	0	0	0	0	0
HOXC13-AS	0	0	0	0	0	0
HOXC13	0	0	0	0	0	0
HOXC12	0	0	0	0	0	0
HOTAIR	0	0	0	0	0	0
RF01905	0	0	0	0	0	0
RF01906	0	0	0	0	0	0
AC012531.4	0	0	0	0	0	0
AC012531.5	0	0	0	0	0	0
HOXC11	0	0	0	0	0	0
HOXC-AS3	0	0	0	0	0	0
HOXC10	0	0	0	2	0	1
AC012531.3	0	0	0	0	0	0
HOXC6	0	0	0	8	0	0
MIR196A2	0	0	0	0	0	0
HOXC-AS2	0	0	0	0	0	0
HOXC9	0	0	0	0	0	0
HOXC-AS1	0	0	0	0	0	0
HOXC8	0	0	0	0	0	0
HOXC4	4	3	6	33	15	5
AC012531.2	0	0	0	0	0	0
AC012531.1	0	0	0	0	0	0
HOXC5	0	0	0	0	0	0
MIR615	0	0	0	0	0	0
FLJ12825	1	2	1	0	3	3
AC023794.3	0	1	0	0	1	0
AC023794.2	0	0	0	0	0	0
FAM242C	0	0	2	1	0	0
SMUG1	585	587	677	645	796	795
LINC02381	22	22	21	94	67	55
SMUG1-AS1	0	0	0	0	0	1
AC023794.5	0	0	2	0	0	0
AC023794.4	0	1	2	2	0	0
AC023794.1	1	1	1	0	0	1
CBX5	8640	10219	10164	8825	8789	9532
MIR3198-2	0	0	0	0	0	0
RN7SL390P	0	0	0	0	0	0
SCAT2	13	15	12	4	15	6
AC078778.1	1	3	4	0	0	3
HNRNPA1	7579	8727	8719	7297	7864	5651
NFE2	10	5	9	1	10	20
COPZ1	3327	3789	4177	2952	3177	2799
RNU6-950P	0	0	0	0	0	0
MIR148B	0	0	0	0	0	0
RN7SL744P	0	0	0	0	0	0
AC079313.2	1	1	1	1	0	1
AC079313.1	0	2	1	0	0	0
GPR84	3	0	1	1	0	1
ZNF385A	124	133	134	220	201	280
ITGA5	23	17	5	150	85	17
LINC01154	0	0	0	0	0	0
GTSF1	0	0	0	1	1	1
NCKAP1L	0	1	2	2	4	3
AC068789.1	0	0	0	0	0	0
PDE1B	30	66	115	312	430	981
PPP1R1A	221	377	964	3534	3939	5198
GLYCAM1	0	0	0	0	0	0
LACRT	0	0	0	0	0	0
DCD	0	0	0	0	0	0
AC079310.1	0	0	0	0	0	0
VDAC1P5	10	6	12	10	13	8
MUCL1	0	0	0	0	0	0
TESPA1	8	8	3	3	4	0
AC027287.2	0	0	0	0	0	0
NEUROD4	7	17	21	335	208	236
OR9K1P	0	0	0	0	0	0
AC027287.1	22	15	15	16	8	13
OR9K2	0	0	0	0	0	0
OR9R1P	0	0	0	0	0	0
OR10U1P	0	0	0	0	0	0
OR10A7	0	0	0	0	0	0
OR6C74	0	1	0	0	0	0
OR6C69P	0	0	0	0	0	0
OR6C72P	0	0	0	0	0	0
OR6C6	0	0	0	0	0	0
OR6C5P	0	0	0	0	0	0
OR6C1	0	0	0	0	0	0
OR6C3	0	0	0	0	0	0
OR6C7P	0	0	0	0	0	0
OR6C75	0	0	0	0	0	0
OR6C71P	0	0	0	0	0	0
OR6C66P	0	0	0	0	0	0
OR6C73P	0	0	0	0	0	0
OR6C65	0	0	0	0	0	0
PHC1P1	730	780	854	525	562	687
OR6C76	0	0	0	0	0	0
AC122685.1	0	0	0	1	2	0
OR6C2	0	0	0	0	0	0
OR6C70	0	1	0	0	1	0
OR6C68	0	0	0	0	0	0
OR6C64P	0	0	0	0	0	0
OR6C4	0	0	0	0	0	0
OR2AP1	0	0	0	0	0	0
OR6U2P	0	0	0	0	0	0
OR10P1	0	0	0	0	0	0
AC009779.5	0	0	0	0	0	0
OR10AE3P	0	0	0	0	0	0
AC009779.4	4	6	10	2	14	11
AC009779.6	0	0	0	0	0	0
METTL7B	0	0	2	1	1	1
ITGA7	779	727	759	1458	1362	895
AC009779.3	17	17	21	12	5	6
BLOC1S1	170	223	255	142	219	180
RDH5	5	15	10	5	3	0
CD63	6648	7489	7232	5054	5298	4827
AC009779.2	224	237	246	142	183	206
AC009779.1	0	0	1	1	2	2
GDF11	1394	1376	1821	2452	2214	2567
SARNP	2	4	2	6	3	2
AC023055.1	0	0	0	0	1	0
AC073487.1	7	7	4	5	7	3
ORMDL2	259	341	362	183	281	227
DNAJC14	543	512	560	545	488	583
TMEM198B	564	640	625	364	402	290
MMP19	3	2	3	5	0	0
OLA1P3	2	1	0	0	0	0
GSTP1P1	0	1	1	1	2	0
PYM1	446	515	588	382	520	480
DGKA	449	398	502	612	442	358
AC025162.2	5	9	9	17	15	6
PMEL	29	42	121	211	182	275
CDK2	368	465	441	135	66	24
AC025162.1	0	0	0	0	0	0
RAB5B	6371	6503	7156	5917	6753	7126
AC034102.1	265	339	298	65	61	20
SUOX	821	837	1055	674	680	674
IKZF4	884	919	1031	915	902	855
AC034102.8	16	22	15	11	10	12
AC034102.3	4	1	1	0	2	1
RPS26	521	636	780	916	1009	864
ERBB3	0	6	11	55	41	13
AC034102.2	0	0	0	0	0	0
PA2G4	1192	1289	1610	1619	2005	1938
AC034102.4	0	0	0	0	0	0
RPL41	14915	18904	17886	7686	9662	7562
ZC3H10	241	275	269	174	240	207
ESYT1	3435	3217	4011	2136	2865	3100
AC034102.7	0	1	0	0	2	0
AC034102.6	2	5	4	5	2	5
AC034102.5	1	3	0	0	1	0
MYL6B	1875	2116	2364	2618	2760	2612
MYL6	14358	18206	17073	12714	16533	12957
AC073896.4	124	126	150	181	204	111
SMARCC2	4960	4664	5844	3943	3925	4601
RNF41	1346	1449	1760	1933	2226	2534
NABP2	479	563	707	877	1104	1294
SLC39A5	0	6	2	2	3	0
ANKRD52	2378	2279	2987	3307	4185	4963
COQ10A	305	332	260	311	217	191
AC073896.5	0	0	0	0	0	0
CS	2601	2976	3709	4687	5461	5704
AC073896.1	0	0	0	0	0	0
AC073896.2	8	12	12	6	1	7
AC073896.3	33	31	43	14	12	9
CNPY2	518	629	649	341	332	271
PAN2	1618	1378	1489	899	691	587
IL23A	12	4	12	9	14	4
STAT2	2183	2015	2095	1369	875	731
RNU7-40P	0	0	1	2	2	0
APOF	3	0	0	2	0	0
APONP	0	0	0	0	0	0
AC025574.1	7	6	14	7	7	11
AC024884.2	0	2	0	1	0	0
AC024884.1	0	0	0	0	0	1
TIMELESS	741	950	1006	448	302	336
MIP	1	0	0	0	0	2
AC097104.1	0	0	0	0	0	0
SPRYD4	243	295	387	340	415	373
GLS2	5	5	15	26	28	42
HSPD1P4	1251	1321	1525	1168	1345	1441
RBMS2	1116	928	956	617	422	311
RNU6-343P	1	2	1	2	0	0
BAZ2A	2367	2148	2434	2116	1854	1549
ATP5F1B	10552	13122	15157	13373	16999	20198
SNORD59A	3	6	7	2	1	2
PTGES3	7210	7340	8437	8573	10877	10621
RN7SL809P	1	2	4	2	0	0
NACA	5641	5991	5823	4919	5167	4746
AC117378.1	0	0	0	0	0	0
PRIM1	42	50	61	77	76	77
HSD17B6	19	15	22	56	24	22
AC121758.1	10	3	3	17	8	10
AC121758.3	0	0	0	0	0	0
AC121758.2	0	0	0	0	0	0
SDR9C7	4	2	1	4	6	4
AC026120.2	0	0	0	1	1	0
RDH16	16	14	11	17	18	5
AC026120.1	1	1	2	0	1	1
GPR182	1	1	1	2	1	0
ZBTB39	712	660	801	837	1074	1042
TAC3	4	5	13	1147	3359	1762
MYO1A	0	0	0	1	1	1
NEMP1	761	1002	970	197	158	129
NAB2	427	534	811	975	1589	1536
STAT6	1255	971	1502	910	822	411
LRP1	14347	10850	12228	7736	7022	6072
LRP1-AS	0	0	0	0	0	0
MIR1228	0	0	0	0	0	0
NXPH4	44	46	167	349	454	433
SHMT2	2012	1461	1898	995	1373	1270
AC137834.2	0	0	1	0	0	0
NDUFA4L2	42	17	56	136	206	131
STAC3	44	30	25	37	24	15
AC137834.1	0	0	0	0	0	0
R3HDM2	1170	1000	1279	1612	1412	1409
RNU6-879P	0	0	0	0	0	0
AC126614.1	1	1	1	0	0	1
INHBC	2	2	2	4	4	4
INHBE	29	13	11	26	15	19
GLI1	21	22	17	14	5	1
ARHGAP9	3	6	24	26	32	29
MARS	3915	3846	4453	4410	5099	5063
MIR6758	0	0	0	0	0	0
DDIT3	346	315	366	350	516	524
AC022506.1	0	0	0	0	0	0
MIR616	2	1	1	3	1	0
MBD6	723	857	790	387	217	159
DCTN2	4599	4512	5514	5852	6505	6638
KIF5A	7657	8600	12957	23442	29163	29384
PIP4K2C	816	842	982	888	1142	1057
DTX3	1835	1808	2244	2238	2461	2393
ARHGEF25	617	577	723	1101	1053	1198
AC025165.1	25	24	30	22	8	14
SLC26A10	54	62	35	104	64	66
B4GALNT1	232	342	712	1583	2016	2342
RPL13AP23	0	0	1	2	1	0
OS9	8281	8626	7964	4184	4073	3803
AC025165.2	0	0	0	0	0	0
AGAP2	252	327	847	1790	2012	2355
AGAP2-AS1	4	11	8	6	5	3
TSPAN31	1352	1249	1306	642	540	531
CDK4	906	1234	1202	410	537	532
MIR6759	0	0	0	0	0	0
MARCH9	727	815	1070	1514	1877	1933
CYP27B1	3	12	14	15	19	13
METTL1	147	156	161	109	129	127
EEF1AKMT3	205	231	201	109	89	52
AC025165.3	0	0	0	0	0	0
TSFM	412	410	458	371	520	500
AVIL	402	408	340	293	227	115
AC025165.5	53	53	69	57	65	61
RNU6-1083P	0	0	0	0	0	0
AC025165.4	3	12	17	7	9	3
CTDSP2	3168	3131	2845	989	701	407
MIR26A2	1	0	0	1	1	2
AC083805.2	0	1	0	2	0	1
AC083805.1	17	15	13	2	1	0
AC083805.3	0	0	1	0	0	0
ATP23	111	128	112	195	175	206
GIHCG	432	516	512	379	399	346
AC084033.1	5	4	2	2	3	2
RN7SKP65	0	0	0	0	0	0
AC084033.2	3	0	1	1	1	0
LINC02403	0	0	0	0	0	0
AC090643.1	0	0	0	0	0	0
AC090643.2	0	0	0	0	0	0
RPL21P103	0	0	0	0	0	0
AC025578.1	0	0	0	0	0	0
AC020637.1	5	4	6	11	55	63
LINC02388	4	6	9	2	2	3
LRIG3	3164	3363	3321	712	337	74
AC068305.2	6	10	4	8	11	4
RPS6P22	1	0	0	0	0	1
AC068305.1	2	1	2	0	1	0
AC108721.1	0	0	0	0	0	0
RNU6-279P	0	0	0	0	0	0
RNU6-871P	0	0	0	0	0	0
LINC02448	0	0	0	0	0	6
RNU4-20P	0	0	0	0	0	0
SLC16A7	134	140	208	349	415	623
AC079905.2	0	0	0	0	0	0
AC079905.1	18	25	23	22	24	22
AC080011.1	0	0	0	0	0	0
AC087883.1	0	0	0	0	0	1
AC090022.1	0	0	0	0	0	0
AC090017.1	0	0	0	1	3	0
DUX4L52	0	0	0	0	1	0
FAM19A2	287	441	485	1566	2082	4319
RPL21P104	0	0	0	0	0	0
KRT8P19	0	0	0	2	1	2
RPS3P6	259	283	288	190	231	193
AC078789.1	0	0	1	0	0	1
KLF17P1	1	1	0	0	0	0
USP15	1574	1654	1976	2455	3118	3148
MIR6125	0	0	0	0	0	0
RNU6-595P	0	0	0	2	0	0
MON2	3249	3359	3187	1934	1874	1433
AC079035.1	0	0	0	2	1	3
RNU6-399P	0	0	0	0	0	0
LINC01465	9	4	14	4	14	16
AC048341.1	295	262	252	200	194	223
MIRLET7I	0	1	0	0	1	3
AC048341.2	48	79	79	61	110	75
PPM1H	320	348	611	1567	1560	1508
RPL32P26	1	1	0	1	0	0
GAPDHP44	639	744	891	740	1106	1496
RNU1-83P	0	0	0	0	0	0
RPL14P1	2826	2879	2921	2712	3323	2707
AC078814.2	7	4	10	7	11	11
LDHAL6CP	0	0	0	0	0	0
AC078814.1	0	0	0	0	0	0
RSL24D1P5	0	0	0	0	0	0
AVPR1A	0	3	3	3	2	6
AC135584.1	0	0	0	1	0	1
HNRNPA1P69	0	0	1	0	0	0
AC026116.1	0	0	0	0	0	0
DPY19L2	186	229	241	533	526	362
AC084357.2	3	0	1	0	0	1
AC027667.1	0	0	0	0	0	1
AC084357.3	5	3	0	139	319	152
AC084357.1	0	0	0	0	0	0
RXYLT1	395	462	482	416	376	364
RXYLT1-AS1	0	0	0	0	0	0
PABPC1P4	407	386	526	438	497	494
SRGAP1	945	1208	1387	1226	1458	1143
RPL36AP41	0	1	0	0	0	0
AC079866.2	0	1	0	0	0	0
AC079866.1	0	0	1	0	0	1
AC020611.1	0	0	0	0	0	0
AC020611.2	0	0	0	0	0	0
AC025576.2	0	3	0	4	0	0
AC025576.1	0	0	0	0	0	0
C12orf66	192	194	196	171	199	215
RNU6-1009P	0	0	0	0	0	0
AC012158.1	25	15	17	14	12	17
RNU5A-7P	0	0	0	0	0	0
C12orf56	22	60	70	5	5	4
AC012158.2	0	0	0	0	0	0
AC135279.2	98	108	151	219	219	255
XPOT	3888	3206	3797	3762	4594	4296
AC135279.1	7	2	2	5	3	0
AC135279.3	0	0	4	1	3	3
TBK1	740	756	819	768	889	887
RASSF3	46	28	25	25	18	11
